"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
8.568167830E1,6.518675585E1,2.532181129E1,-1.421208975E-1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
8.668168742E1,6.518675448E1,2.532181232E1,3.427162272E-2,0.000000000E0,NaN,3.790092468E0,2.500000000E0
8.768169762E1,6.518675437E1,2.532181312E1,6.576599428E-2,0.000000000E0,NaN,3.790092468E0,2.500000000E0
8.868212278E1,6.518675493E1,2.532181341E1,4.293862613E-2,0.000000000E0,NaN,3.790092468E0,2.500000000E0
8.968168898E1,6.518675532E1,2.532181325E1,2.603165552E-2,0.000000000E0,NaN,3.790092468E0,2.500000000E0
9.068214043E1,6.518675546E1,2.532181312E1,2.395636091E-2,0.000000000E0,NaN,3.790092468E0,2.500000000E0
9.168169559E1,6.518675552E1,2.532181289E1,2.005003016E-2,0.000000000E0,NaN,3.790092468E0,2.500000000E0
9.268185470E1,6.518675563E1,2.532181259E1,3.286729160E-2,0.000000000E0,NaN,3.790092468E0,2.500000000E0
9.368211533E1,6.518675605E1,2.532181240E1,1.140437953E-1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
9.468157137E1,6.518675613E1,2.532181219E1,1.192927323E-1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
9.568159371E1,6.518675610E1,2.532181233E1,1.227717821E-1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
9.668227627E1,6.518675610E1,2.532181234E1,1.202693428E-1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
9.768172127E1,6.518675610E1,2.532181235E1,1.184993255E-1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
9.868135668E1,6.518675613E1,2.532181223E1,1.211848309E-1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
9.968205402E1,6.518675614E1,2.532181225E1,1.205134435E-1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.006815884E2,6.518675617E1,2.532181226E1,1.248469266E-1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.016821453E2,6.518675617E1,2.532181228E1,1.212458568E-1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.026815508E2,6.518674734E1,2.532179833E1,-1.899099600E-1,9.900000095E-1,2.116999969E2,3.790092468E0,2.500000000E0
1.036822093E2,6.518673909E1,2.532178556E1,-2.306800692E-1,1.389999986E0,2.158000031E2,3.790092468E0,2.500000000E0
1.046813259E2,6.518673081E1,2.532177549E1,-4.858050403E-1,1.080000043E0,2.078000031E2,3.790092468E0,2.500000000E0
1.056819014E2,6.518672295E1,2.532176832E1,-7.858514633E-1,1.039999962E0,2.045000000E2,3.790092468E0,2.500000000E0
1.066818178E2,6.518671539E1,2.532175937E1,-1.254538565E0,1.070000052E0,2.106000061E2,3.790092468E0,2.500000000E0
1.076816639E2,6.518670705E1,2.532174982E1,-1.634480286E0,1.129999995E0,2.095000000E2,3.790092468E0,2.500000000E0
1.086817932E2,6.518669908E1,2.532173859E1,-1.849078323E0,1.149999976E0,2.130000000E2,3.790092468E0,2.500000000E0
1.096813589E2,6.518669121E1,2.532172559E1,-2.187822307E0,1.149999976E0,2.158999939E2,3.790092468E0,2.500000000E0
1.106817743E2,6.518668413E1,2.532171387E1,-2.410782718E0,1.090000033E0,2.143999939E2,3.790092468E0,2.500000000E0
1.116817066E2,6.518667689E1,2.532170114E1,-2.344558700E0,1.129999995E0,2.160000000E2,3.790092468E0,2.500000000E0
1.126821473E2,6.518666953E1,2.532168838E1,-2.570265779E0,1.090000033E0,2.131999969E2,3.790092468E0,2.500000000E0
1.136817477E2,6.518666100E1,2.532167685E1,-2.791394360E0,1.149999976E0,2.118000031E2,3.790092468E0,2.500000000E0
1.146813694E2,6.518665349E1,2.532166481E1,-2.600475229E0,1.090000033E0,2.146999969E2,3.790092468E0,2.500000000E0
1.156821983E2,6.518664538E1,2.532165460E1,-2.659128147E0,1.149999976E0,2.098999939E2,3.790092468E0,2.500000000E0
1.166818939E2,6.518663614E1,2.532164464E1,-2.705390302E0,1.169999957E0,2.061000061E2,3.790092468E0,2.500000000E0
1.176816500E2,6.518662803E1,2.532162875E1,-2.772589386E0,1.169999957E0,2.146000061E2,3.790092468E0,2.500000000E0
1.186816884E2,6.518661931E1,2.532161502E1,-2.991399016E0,1.190000057E0,2.090000000E2,3.790092468E0,2.500000000E0
1.196814740E2,6.518661008E1,2.532160074E1,-3.363833996E0,1.220000029E0,2.136999969E2,3.790092468E0,2.500000000E0
1.206821533E2,6.518660075E1,2.532158775E1,-3.599183682E0,1.190000057E0,2.111999969E2,3.790092468E0,2.500000000E0
1.216818001E2,6.518659112E1,2.532157794E1,-3.883055469E0,1.139999986E0,2.043000031E2,3.790092468E0,2.500000000E0
1.226823093E2,6.518658125E1,2.532156615E1,-3.989254228E0,1.210000038E0,2.043000031E2,3.790092468E0,2.500000000E0
1.236816854E2,6.518657091E1,2.532155573E1,-3.959466121E0,1.210000038E0,2.001999969E2,3.790092468E0,2.500000000E0
1.246816107E2,6.518656197E1,2.532154288E1,-3.703605036E0,1.220000029E0,2.041000061E2,3.790092468E0,2.500000000E0
1.256814118E2,6.518655343E1,2.532152876E1,-3.787038864E0,1.210000038E0,2.090000000E2,3.790092468E0,2.500000000E0
1.266820671E2,6.518654534E1,2.532151478E1,-3.754750233E0,1.179999948E0,2.086000061E2,3.790092468E0,2.500000000E0
1.276816245E2,6.518653653E1,2.532150291E1,-3.709948569E0,1.169999957E0,2.060000000E2,3.790092468E0,2.500000000E0
1.286818894E2,6.518652710E1,2.532149129E1,-3.886521047E0,1.230000019E0,2.068000031E2,3.790092468E0,2.500000000E0
1.296821298E2,6.518651750E1,2.532147967E1,-4.150312678E0,1.210000038E0,2.053999939E2,3.790092468E0,2.500000000E0
1.306813508E2,6.518650802E1,2.532147158E1,-4.163127034E0,1.169999957E0,2.003999939E2,3.790092468E0,2.500000000E0
1.316816973E2,6.518649770E1,2.532146281E1,-4.052833203E0,1.220000029E0,2.016999969E2,3.790092468E0,2.500000000E0
1.326818106E2,6.518648719E1,2.532145268E1,-3.869663598E0,1.210000038E0,2.011999969E2,3.790092468E0,2.500000000E0
1.336817831E2,6.518647598E1,2.532144234E1,-3.959015656E0,1.269999981E0,2.025000000E2,3.790092468E0,2.500000000E0
1.346817854E2,6.518646495E1,2.532143330E1,-3.992032071E0,1.250000000E0,2.023999939E2,3.790092468E0,2.500000000E0
1.356816853E2,6.518645496E1,2.532142470E1,-4.152307217E0,1.210000038E0,2.023999939E2,3.790092468E0,2.699049711E0
1.366816484E2,6.518644433E1,2.532141404E1,-4.136190889E0,1.230000019E0,2.038000031E2,3.790092468E0,3.000111818E0
